Start	Stop	Orientation	Length	LocusID	Class	Product	Note	SignalPeptide
508	582	-	75	Amuc_R0001	tRNA	tRNA-Met	-	-
793	1353	-	561	Amuc_0001	CDS	NUDIX hydrolase	PFAM: NUDIX hydrolase; KEGG: xcb:XC_3392 MutT-like protein	-
1882	3288	+	1407	Amuc_0002	CDS	chromosomal replication initiator protein DnaA	KEGG: dsy:DSY0001 ATPase involved in DNA replication initiation; TIGRFAM: chromosomal replication initiator protein DnaA; PFAM: AAA ATPase central domain protein; Chromosomal replication initiator DnaA domain; Chromosomal replication initiator DnaA; SMART: AAA ATPase	-
3438	4373	+	936	Amuc_0003	CDS	ABC transporter related	PFAM: ABC transporter related; SMART: AAA ATPase; KEGG: tpd:Teth39_0506 ABC transporter related	-
4429	5211	+	783	Amuc_0004	CDS	conserved hypothetical protein	KEGG: scl:sce2430 hypothetical protein	-
5246	6817	+	1572	Amuc_0005	CDS	hypothetical protein	KEGG: csc:Csac_0364 hypothetical protein	-
6846	8900	+	2055	Amuc_0006	CDS	hypothetical protein	KEGG: cyb:CYB_1660 lipoprotein, putative	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.996) with cleavage site probability 0.573 at residue 20
8914	9693	+	780	Amuc_0007	CDS	protein of unknown function DUF34	PFAM: protein of unknown function DUF34; KEGG: dge:Dgeo_1982 protein of unknown function DUF34	-
9710	10681	+	972	Amuc_0008	CDS	pseudouridine synthase, RluA family	KEGG: cyb:CYB_1113 pseudouridine synthase, RluA family; TIGRFAM: pseudouridine synthase, RluA family; PFAM: RNA-binding S4 domain protein; pseudouridine synthase	-
11054	12211	+	1158	Amuc_0009	CDS	chorismate mutase	TIGRFAM: chorismate mutase; PFAM: prephenate dehydratase; Chorismate mutase; amino acid-binding ACT domain protein; KEGG: rxy:Rxyl_1244 prephenate dehydratase	-
12257	13873	+	1617	Amuc_0010	CDS	Alpha-L-fucosidase	PFAM: glycoside hydrolase family 29 (alpha-L-fucosidase); KEGG: cpy:Cphy_3023 alpha-L-fucosidase	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.996) with cleavage site probability 0.517 at residue 22
13898	16282	+	2385	Amuc_0011	CDS	DNA ligase, NAD-dependent	KEGG: pth:PTH_2527 NAD-dependent DNA ligase; TIGRFAM: DNA ligase, NAD-dependent; PFAM: BRCT domain protein; zinc-finger NAD-dependent DNA ligase C4-type; NAD-dependent DNA ligase OB-fold; NAD-dependent DNA ligase adenylation; SMART: NAD-dependent DNA ligase	-
16460	17068	+	609	Amuc_0012	CDS	CDP-diacylglycerol/glycerol-3-phosphate3-phosphatidyltransferase	TIGRFAM: CDP-diacylglycerol/glycerol-3-phosphate 3-phosphatidyltransferase; PFAM: CDP-alcohol phosphatidyltransferase; KEGG: bha:BH2386 phosphatidylglycerophosphate synthase	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.871) with cleavage site probability 0.421 at residue 27
17172	17333	+	162	Amuc_0013	CDS	hypothetical protein	-	-
17295	18533	-	1239	Amuc_0014	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.997 at residue 29
19074	20345	+	1272	Amuc_0015	CDS	DEAD/DEAH box helicase domain protein	PFAM: helicase domain protein; DEAD/DEAH box helicase domain protein; SMART: DEAD-like helicases; KEGG: mag:amb1428 superfamily II DNA and RNA helicase	-
20457	21065	+	609	Amuc_0016	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.970 at residue 30
21561	23006	+	1446	Amuc_0017	CDS	oxidoreductase domain protein	PFAM: oxidoreductase domain protein; KEGG: sbm:Shew185_2813 oxidoreductase domain protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.985 at residue 30
23308	24450	+	1143	Amuc_0018	CDS	conserved hypothetical protein	KEGG: nha:Nham_0985 hypothetical protein	-
24455	25414	+	960	Amuc_0019	CDS	hypothetical protein	KEGG: gur:Gura_1976 peptidase M28	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.999) with cleavage site probability 0.795 at residue 36
25433	26587	-	1155	Amuc_0020	CDS	major facilitator superfamily MFS_1	PFAM: major facilitator superfamily MFS_1; KEGG: ypi:YpsIP31758_2592 transporter, major facilitator family	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.995 at residue 24
26737	28134	-	1398	Amuc_0021	CDS	RNA polymerase, sigma 54 subunit, RpoN	TIGRFAM: RNA polymerase sigma-54 factor, RpoN; PFAM: sigma-54 factor; sigma-54 factor core-binding region; sigma-54 DNA-binding domain protein; KEGG: ent:Ent638_3638 RNA polymerase factor sigma-54	-
28275	28985	+	711	Amuc_0022	CDS	lipolytic protein G-D-S-L family	PFAM: lipolytic protein G-D-S-L family; KEGG: sde:Sde_2497 TonB-like	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.999 at residue 20
29374	30150	+	777	Amuc_0023	CDS	phenazine biosynthesis protein PhzF family	TIGRFAM: phenazine biosynthesis protein PhzF family; PFAM: Phenazine biosynthesis PhzC/PhzF protein; KEGG: cbb:CLD_2590 phenazine biosynthesis protein, PhzF family	-
30657	31256	+	600	Amuc_0024	CDS	protein of unknown function DUF204	PFAM: protein of unknown function DUF204; KEGG: dvl:Dvul_0455 protein of unknown function DUF204	-
31260	33593	+	2334	Amuc_0025	CDS	Tetratricopeptide TPR_2 repeat protein	PFAM: Tetratricopeptide TPR_2 repeat protein; KEGG: rba:RB12351 similar to C-type cytochrome	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.570 at residue 56
33610	34827	+	1218	Amuc_0026	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.999 at residue 25
35058	36437	-	1380	Amuc_0027	CDS	AAA ATPase central domain protein	PFAM: magnesium chelatase ChlI subunit; AAA ATPase central domain protein; ATPase associated with various cellular activities AAA_5; SMART: AAA ATPase; KEGG: dau:Daud_2041 AAA ATPase, central domain protein	-
36545	36940	-	396	Amuc_0028	CDS	hypothetical protein	KEGG: mkm:Mkms_5375 amino acid permease-associated region	-
37306	38232	-	927	Amuc_0029	CDS	NAD-dependent epimerase/dehydratase	PFAM: NAD-dependent epimerase/dehydratase; 3-beta hydroxysteroid dehydrogenase/isomerase; polysaccharide biosynthesis protein CapD; dTDP-4-dehydrorhamnose reductase; Male sterility domain; KEGG: mba:Mbar_A1144 dTDP-glucose 4,6-dehydratase	-
38259	39353	-	1095	Amuc_0030	CDS	conserved hypothetical protein	KEGG: cpe:CPE1200 hypothetical protein	-
39366	40241	-	876	Amuc_0031	CDS	conserved hypothetical protein	KEGG: pgi:PG0160 hypothetical protein	-
40350	41069	-	720	Amuc_0032	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.729) with cleavage site probability 0.705 at residue 18
41173	41865	+	693	Amuc_0033	CDS	peptidase M50	PFAM: peptidase M50; KEGG: pcu:pc1296 hypothetical protein	-
41923	43443	+	1521	Amuc_0034	CDS	prolyl-tRNA synthetase	KEGG: ade:Adeh_0024 prolyl-tRNA synthetase; TIGRFAM: prolyl-tRNA synthetase; PFAM: tRNA synthetase class II (G H P and S); Anticodon-binding domain protein; Prolyl-tRNA synthetase, class II-like	-
43727	43801	+	75	Amuc_R0002	tRNA	tRNA-Gly	-	-
44582	44995	-	414	Amuc_0035	CDS	hypothetical protein	-	-
45594	51467	-	5874	Amuc_0036	CDS	YD repeat protein	TIGRFAM: YD repeat protein; PFAM: YD repeat-containing protein; KEGG: dol:Dole_2050 YD repeat protein	-
51964	53448	+	1485	Amuc_0037	CDS	amino acid permease-associated region	PFAM: amino acid permease-associated region; KEGG: bmf:BAB2_0864 aromatic amino acid permease:amino acid/polyamine transporter, family I:domain found in permeases	-
53441	54382	+	942	Amuc_0038	CDS	Glutaminase	PFAM: Glutaminase, core; KEGG: bcs:BCAN_B0342 glutaminase	-
54611	55021	-	411	Amuc_0039	CDS	GCN5-related N-acetyltransferase	PFAM: GCN5-related N-acetyltransferase; KEGG: cac:CA_P0110 NH2-acetyltransferase	-
55485	56894	+	1410	Amuc_0040	CDS	amino acid carrier protein	TIGRFAM: amino acid carrier protein; PFAM: sodium:alanine symporter; KEGG: dsy:DSY4985 hypothetical protein	-
56982	57057	+	76	Amuc_R0003	tRNA	tRNA-Glu	-	-
57297	58373	+	1077	Amuc_0041	CDS	peptide chain release factor 1	TIGRFAM: peptide chain release factor 1; PFAM: Class I peptide chain release factor; PCRF domain protein; KEGG: hmo:HM1_1083 peptide chain release factor 1	-
58390	59295	+	906	Amuc_0042	CDS	protein-(glutamine-N5) methyltransferase, release factor-specific	TIGRFAM: modification methylase, HemK family; protein-(glutamine-N5) methyltransferase, release factor-specific; PFAM: methyltransferase small; KEGG: mxa:MXAN_4908 putative protein methyltransferase HemK	-
59317	61533	+	2217	Amuc_0043	CDS	primosomal protein N'	KEGG: pcu:pc1225 primosome assembly protein PriA; TIGRFAM: primosomal protein N'; PFAM: helicase domain protein; type III restriction protein res subunit; DEAD/DEAH box helicase domain protein; SMART: DEAD-like helicases	-
61593	62417	+	825	Amuc_0044	CDS	Diaminopimelate epimerase	PFAM: diaminopimelate epimerase; KEGG: sat:SYN_00169 diaminopimelate epimerase	-
62461	63240	-	780	Amuc_0045	CDS	hypothetical protein	-	-
63380	63646	-	267	Amuc_0046	CDS	hypothetical protein	-	-
63857	63931	+	75	Amuc_R0004	tRNA	tRNA-His	-	-
63997	64668	+	672	Amuc_0047	CDS	ubiquinone/menaquinone biosynthesis methyltransferase	TIGRFAM: ubiquinone/menaquinone biosynthesis methyltransferase; PFAM: UbiE/COQ5 methyltransferase; Methyltransferase type 11; Methyltransferase type 12; KEGG: ttj:TTHA1854 ubiquinone/menaquinone biosynthesis methyltransferase	-
